Name,Survived
"Goldschmidt, Mr. George B",0
"Goodwin, Master. Harold Victor",0
"Olsvigen, Mr. Thor Anderson",0
"Beane, Mrs. Edward (Ethel Clarke)",1
"Collyer, Mr. Harvey",0
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",1
"Rommetvedt, Mr. Knud Paust",0
"Peter, Miss. Anna",1
"Collyer, Miss. Marjorie ""Lottie""",1
"Chip, Mr. Chang",1
"Denkoff, Mr. Mitto",0
"Sage, Master. Thomas Henry",0
"Drazenoic, Mr. Jozef",0
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",1
"Nenkoff, Mr. Christo",0
"Shelley, Mrs. William (Imanita Parrish Hall)",1
"Saalfeld, Mr. Adolphe",1
"Baxter, Mr. Quigg Edmond",0
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",1
"Zabour, Miss. Hileni",0
"Patchett, Mr. George",0
"Kelly, Miss. Anna Katherine ""Annie Kate""",1
"Ivanoff, Mr. Kanio",0
"Roebling, Mr. Washington Augustus II",0
"Caram, Mrs. Joseph (Maria Elias)",0
"Andrew, Mr. Edgardo Samuel",0
"Hendekovic, Mr. Ignjac",0
"Lovell, Mr. John Hall (""Henry"")",0
"Beesley, Mr. Lawrence",1
"Gustafsson, Mr. Anders Vilhelm",0
"Smith, Mr. Thomas",0
"Longley, Miss. Gretchen Fiske",1
"Fortune, Mr. Mark",0
"Stanley, Mr. Edward Roland",0
"Quick, Miss. Phyllis May",1
"McEvoy, Mr. Michael",0
"Bowen, Mr. David John ""Dai""",0
"Nicholson, Mr. Arthur Ernest",0
"Hodges, Mr. Henry Price",0
"White, Mr. Percival Wayland",0
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1
"Gee, Mr. Arthur H",0
"Wilhelms, Mr. Charles",1
"Theobald, Mr. Thomas Leonard",0
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",0
"van Melkebeke, Mr. Philemon",0
"Panula, Master. Urho Abraham",0
"Robbins, Mr. Victor",0
"Givard, Mr. Hans Kristensen",0
"O'Connor, Mr. Maurice",0
"Bailey, Mr. Percy Andrew",0
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1
"Chaffee, Mr. Herbert Fuller",0
"Murphy, Miss. Katherine ""Kate""",1
"Richards, Master. George Sibley",1
"Van Impe, Mr. Jean Baptiste",0
"Cook, Mr. Jacob",0
"Mineff, Mr. Ivan",0
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",0
"Johannesen-Bratthammer, Mr. Bernt",1
"Becker, Master. Richard F",1
"Thorneycroft, Mrs. Percival (Florence Kate White)",1
"Lefebre, Miss. Jeannie",0
"Taussig, Mrs. Emil (Tillie Mandelbaum)",1
"Klaber, Mr. Herman",0
"Madsen, Mr. Fridtjof Arne",1
"Herman, Miss. Alice",1
"Reeves, Mr. David",0
"Nosworthy, Mr. Richard Cater",0
"Hale, Mr. Reginald",0
"Zabour, Miss. Thamine",0
"Sage, Miss. Constance Gladys",0
"Birkeland, Mr. Hans Martin Monsen",0
"Panula, Master. Eino Viljami",0
"Pears, Mr. Thomas Clinton",0
"Newell, Miss. Madeleine",1
"Giles, Mr. Frederick Edward",0
"Adahl, Mr. Mauritz Nils Martin",0
"Collander, Mr. Erik Gustaf",0
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1
"Pasic, Mr. Jakob",0
"Dodge, Master. Washington",1
"Brocklebank, Mr. William Alfred",0
"Ford, Miss. Robina Maggie ""Ruby""",0
"Rosblom, Mrs. Viktor (Helena Wilhelmina)",0
"Larsson, Mr. August Viktor",0
"Minahan, Miss. Daisy E",1
"Sjostedt, Mr. Ernst Adolf",0
"Van der hoef, Mr. Wyckoff",0
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",1
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",1
